Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
Beverly,42665.0,35559.0,32476.0,21430.0,5299.0,0.833446619008555,0.7611859838274933,0.5022852455174031,0.1242001640689089,20.8,0.239,9.1,-0.087,7.1,10.1,257.5,32.7,9.4,438.4,21.0,0.107,1.5,84.5,72.0,9.1,51.4,49.7,1025.0,2.2,2026.0,52.6,6.73,136.0,10.6,3.5,39.5,5.1,9.1,44.5,5.8,2.33,31.3,15.9,10.1,36185.0,-0.06,0.9,17.2,17.0,40.3,48.6,16.1,-0.029,18.8,25.2,157.0,17.4,7.8,0.37,0.007,215.0,158.0,0.147,12818.0,8.0,85.7,26.0,0.027,37.8,1.8,11.1,0.822,9.6,5435.0,5565.0,90.4,69535.0,0.33,288.0,3.5,20.7,25780.0,0.16,26.9,24450.0,Healey
Boxford,8198.0,7285.0,6599.0,4432.0,1120.0,0.8886313735057331,0.8049524274213222,0.5406196633325201,0.1366186874847523,42.7,0.002,6.3,-0.139,6.3,5.3,144.4,16.2,9.4,487.3,16.3,0.001,7.5,61.6,47.0,7.5,13.8,65.7,2146.0,4.5,2838.0,50.8,1.75,50.0,6.6,0.0,94.9,11.3,12.5,7.2,3.6,2.96,11.4,26.7,5.4,82523.0,0.01,0.0,1.3,4.0,44.4,95.5,5.7,0.133,18.2,31.6,135.0,16.2,4.8,7.6,0.008,140.0,46.0,0.09,13335.0,17.0,96.5,26.7,-0.171,51.1,2.5,8.7,0.888,7.4,8021.0,8295.0,92.6,71559.0,0.22,374.0,8.8,0.0,6030.0,0.79,15.1,5543.0,Healey
Danvers,28084.0,25199.0,22978.0,14789.0,3765.0,0.8972724683093577,0.8181882922660589,0.5265987751032617,0.1340620994160376,32.8,0.248,4.2,-0.107,14.0,8.4,323.1,33.0,8.9,476.8,19.3,0.152,2.6,132.1,73.0,12.5,45.7,43.9,1274.0,4.4,2825.0,53.2,5.58,158.0,17.5,4.5,51.4,5.3,6.6,26.1,3.2,2.42,29.2,13.3,9.3,33474.0,0.03,0.5,17.0,19.0,43.7,58.9,11.4,0.075,21.6,31.1,207.0,21.8,7.3,0.69,0.008,51.0,280.0,0.158,12923.0,11.0,73.4,23.4,0.003,45.3,0.7,7.7,0.916,12.8,4883.0,5085.0,87.2,71015.0,0.4,349.0,2.6,21.5,18963.0,0.32,22.8,16907.0,Healey
Essex,3670.0,3253.0,2930.0,1952.0,532.0,0.8863760217983652,0.7983651226158038,0.5318801089918256,0.1449591280653951,20.0,0.168,25.7,-0.056,0.0,8.8,2180.4,39.6,9.9,416.1,,0.044,5.7,58.8,28.0,5.7,5.7,60.9,2010.0,2.6,3256.0,50.0,2.03,66.0,6.6,0.0,83.8,14.3,9.9,40.7,4.4,2.5,28.0,26.2,9.1,46481.0,-0.03,0.0,48.5,26.0,47.3,70.5,,-0.221,23.1,27.8,273.0,34.0,8.4,0.95,0.008,39.0,76.0,0.201,,13.0,89.2,61.6,,34.6,14.2,1.5,0.93,5.8,7060.0,7474.0,94.2,,,462.0,5.7,0.0,2725.0,0.45,20.4,2512.0,Diehl
Georgetown,8465.0,7066.0,6490.0,4127.0,929.0,0.8347312463083284,0.7666863555818074,0.4875369167158889,0.1097460129946839,31.8,0.079,3.7,-0.106,13.4,8.6,222.4,25.5,9.3,442.7,22.8,0.044,2.4,64.3,41.0,8.6,8.6,58.8,1597.0,5.4,2549.0,50.6,1.91,49.0,17.4,2.4,76.4,4.9,0.0,21.9,5.6,2.78,17.8,17.6,7.7,38310.0,0.06,0.2,9.8,18.0,40.6,90.8,3.8,0.134,26.9,30.3,165.0,18.2,6.5,2.39,0.008,44.0,,0.214,10511.0,11.0,90.7,30.6,-0.084,43.5,3.6,22.3,0.973,7.9,4973.0,5116.0,92.1,61801.0,0.41,382.0,8.6,,6202.0,0.86,22.5,5585.0,Healey
Gloucester,29724.0,26135.0,23549.0,15223.0,4466.0,0.8792558202126228,0.7922554164984524,0.512145067958552,0.1502489570717265,13.2,0.292,5.9,-0.1,4.9,9.3,969.5,28.3,9.9,436.2,17.7,0.096,1.7,32.3,25.0,5.2,10.8,36.9,1035.0,4.6,2619.0,51.9,7.12,186.0,20.8,3.5,64.3,11.1,12.5,53.8,4.6,2.27,32.8,15.7,8.8,30676.0,0.02,1.1,25.4,24.0,47.3,51.8,10.4,-0.028,20.5,28.0,162.0,21.4,6.2,0.14,0.008,357.0,142.0,0.182,13940.0,11.0,88.9,60.2,-0.112,39.0,1.0,11.8,0.941,7.4,5512.0,5696.0,92.6,67541.0,0.24,336.0,3.1,9.2,20910.0,0.3,28.7,18159.0,Healey
Groveland,6747.0,5662.0,5226.0,3304.0,825.0,0.8391877871646658,0.7745664739884393,0.4896991255372758,0.1222765673632725,18.6,0.126,1.5,-0.097,4.6,7.4,246.2,3.1,9.5,440.0,,0.07,3.1,23.2,31.0,4.6,0.0,63.2,1169.0,8.4,1602.0,51.6,1.71,28.0,5.7,0.0,86.8,3.1,13.8,25.0,5.3,2.75,18.5,14.5,13.3,33334.0,0.13,0.3,13.9,12.0,43.4,85.2,,0.146,30.3,44.8,149.0,16.9,9.3,1.76,0.008,18.0,69.0,0.192,,9.0,90.8,37.5,,57.5,3.1,5.4,0.939,6.5,4571.0,4804.0,93.5,,,372.0,1.5,3.0,4716.0,0.7,21.6,4536.0,Healey
Hamilton,7556.0,7324.0,6581.0,4469.0,1179.0,0.96929592376919,0.8709634727368978,0.5914505029115934,0.1560349391212281,34.8,0.038,9.0,-0.105,5.2,11.5,291.1,21.7,9.7,423.0,,0.015,9.0,43.0,86.0,7.7,21.9,67.3,1992.0,1.2,2727.0,50.9,2.23,61.0,6.0,1.3,62.7,9.0,15.6,31.1,3.8,2.83,15.7,19.9,7.5,52877.0,-0.13,0.0,12.9,13.0,37.4,68.6,,-0.145,16.0,27.9,159.0,17.9,5.8,1.81,0.008,39.0,70.0,0.009,,12.0,94.6,33.4,,46.4,6.4,2.6,0.827,13.6,7988.0,7924.0,86.4,,,326.0,9.0,6.3,5837.0,0.5,17.6,4988.0,Healey
Haverhill,67783.0,51044.0,45502.0,24430.0,4950.0,0.7530501748225956,0.6712892613192099,0.3604148532817963,0.0730271602024106,12.8,0.423,1.0,-0.167,10.0,13.6,81.8,75.3,9.8,431.7,18.5,0.24,2.1,137.6,18.0,4.9,14.3,50.2,1113.0,4.2,2192.0,52.0,7.15,157.0,11.2,4.4,45.7,3.1,6.5,40.4,10.4,2.47,29.6,13.1,5.3,24098.0,0.02,1.9,14.8,13.0,38.1,59.0,32.8,0.028,20.3,37.8,141.0,16.0,6.4,0.29,0.008,94.0,234.0,0.138,11604.0,7.0,82.6,20.0,0.031,33.1,0.7,28.1,0.891,8.0,3778.0,3830.0,92.0,66213.0,0.35,282.0,1.3,67.5,43400.0,0.84,29.7,32401.0,Healey
Ipswich,13781.0,12970.0,11743.0,8220.0,2507.0,0.9411508598795444,0.8521152311153036,0.5964734054132501,0.1819171322835788,28.8,0.214,16.7,-0.127,6.8,7.8,1143.1,48.9,9.4,482.6,19.8,0.135,2.3,58.8,48.0,5.3,14.4,55.2,1612.0,3.4,2872.0,52.4,3.85,111.0,5.7,3.0,70.0,23.5,18.0,33.7,4.5,2.38,28.8,20.8,10.7,43107.0,-0.07,0.5,27.3,17.0,45.4,66.2,8.9,0.084,22.5,20.5,173.0,22.6,6.0,0.91,0.008,84.0,80.0,0.123,11548.0,12.0,88.4,47.8,-0.033,42.8,2.3,14.2,0.898,8.9,5545.0,5697.0,91.1,63121.0,0.31,365.0,6.8,3.7,10501.0,0.5,22.2,9614.0,Healey
Lawrence,89138.0,72345.0,62458.0,23835.0,3203.0,0.8116067221611434,0.7006888195831183,0.2673943772577352,0.0359330476340057,1.0,0.597,0.1,-0.209,18.6,18.0,15.6,88.6,12.0,281.0,20.6,0.112,0.3,83.8,17.0,2.1,30.9,62.1,1806.0,1.0,2907.0,51.9,3.94,115.0,9.5,1.8,14.5,3.1,1.5,44.7,41.9,3.0,24.5,7.3,3.8,11893.0,-0.04,4.9,13.1,5.0,30.9,35.7,94.3,-0.276,5.6,98.3,147.0,18.1,5.1,-0.05,0.008,90.0,253.0,0.115,13272.0,2.0,76.3,10.0,0.076,33.8,0.0,66.2,0.919,18.0,2527.0,2530.0,82.0,70949.0,0.46,179.0,0.5,101.1,40493.0,0.51,54.0,23208.0,Healey
Lynn,101249.0,87051.0,76426.0,36995.0,6236.0,0.8597714545328843,0.7548321464903357,0.3653863248032079,0.0615907317603136,3.9,0.404,0.3,-0.172,12.8,16.0,68.7,78.9,11.3,347.4,19.5,0.124,0.4,136.9,13.0,3.3,12.2,41.9,1174.0,3.3,2805.0,51.0,6.33,178.0,24.6,3.8,25.4,2.9,2.2,63.3,23.3,2.69,30.6,9.3,5.7,17258.0,-0.17,3.6,11.7,8.0,35.0,35.6,78.4,-0.249,10.7,60.8,186.0,21.3,6.6,-0.09,0.008,117.0,283.0,0.1,13031.0,5.0,84.0,20.7,0.065,35.9,0.1,54.9,0.908,10.0,3670.0,3651.0,90.0,63511.0,0.31,226.0,0.6,82.1,50578.0,0.19,47.2,35777.0,Healey
Lynnfield,12994.0,11964.0,10804.0,6979.0,1658.0,0.92073264583654,0.8314606741573034,0.5370940434046483,0.1275973526242881,75.0,0.031,6.0,-0.106,12.9,6.2,111.2,53.9,8.8,494.0,21.0,0.02,2.6,101.4,56.0,21.6,11.2,52.1,1837.0,5.3,3395.0,51.2,2.57,87.0,17.7,2.6,60.4,2.6,2.1,12.2,4.1,2.77,18.8,18.6,8.3,58383.0,-0.02,0.2,12.9,3.0,43.1,70.3,10.4,-0.01,16.3,34.0,196.0,18.9,5.8,1.95,0.008,33.0,91.0,0.181,12215.0,26.0,91.5,14.4,-0.042,62.0,4.3,10.9,0.91,6.1,7380.0,7573.0,93.9,71387.0,0.43,345.0,3.4,5.9,9279.0,0.29,20.9,8345.0,Diehl
Manchester,5389.0,5069.0,4468.0,3199.0,1070.0,0.9406197810354424,0.8290963072926332,0.5936166264613101,0.1985526071627389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diehl
Marblehead,20436.0,19572.0,17673.0,12443.0,3931.0,0.9577216676453316,0.8647974163241339,0.6088764924642788,0.1923566255627324,36.9,0.189,24.7,-0.063,1.5,7.9,995.1,17.0,9.3,461.9,18.7,0.113,3.0,53.6,88.0,9.1,17.7,46.6,1457.0,2.3,2905.0,52.8,4.68,136.0,20.6,2.5,47.5,6.6,3.7,42.7,4.0,2.42,28.8,24.9,7.4,69497.0,-0.07,0.3,17.2,21.0,44.4,48.3,9.9,-0.108,13.8,12.9,146.0,18.1,5.0,0.44,0.008,262.0,111.0,0.131,12998.0,20.0,94.5,34.3,-0.003,40.5,1.0,7.9,0.859,5.9,6958.0,7092.0,94.1,,0.37,328.0,4.5,13.4,15375.0,0.11,27.0,14234.0,Healey
Merrimac,6718.0,5410.0,4956.0,2783.0,666.0,0.8052991961893421,0.7377195593926764,0.4142601964870497,0.0991366478118487,15.8,0.179,3.2,-0.126,3.2,5.7,249.3,,9.4,471.4,,0.098,4.7,56.2,38.0,4.7,6.3,58.4,1081.0,4.3,1776.0,51.8,3.13,56.0,5.6,1.6,77.8,0.0,13.7,28.1,3.9,2.61,22.6,15.3,3.7,31161.0,0.08,0.6,12.6,33.0,42.6,83.9,,0.041,32.2,38.9,120.0,15.7,6.8,1.26,0.008,12.0,90.0,0.138,,7.0,94.6,34.2,,47.0,15.7,7.5,0.938,6.1,4770.0,4906.0,94.0,,,353.0,1.6,10.9,4606.0,0.75,21.4,4391.0,Healey
Methuen,53056.0,40747.0,36750.0,18785.0,3300.0,0.7679998492159228,0.6926643546441495,0.3540598612786489,0.0621984318455971,14.4,0.254,0.8,-0.154,11.9,11.9,68.8,42.2,9.6,462.5,23.5,0.138,0.8,137.3,26.0,8.3,23.9,57.2,1370.0,5.5,2394.0,52.4,6.41,154.0,8.0,2.8,43.2,9.3,5.5,27.4,13.5,2.67,24.9,11.7,7.6,25354.0,-0.05,1.1,13.5,11.0,39.5,61.8,38.9,-0.051,19.0,54.1,184.0,20.2,7.7,0.93,0.008,68.0,181.0,0.127,11566.0,8.0,83.7,18.1,-0.045,42.9,1.7,35.9,0.9,5.8,3504.0,3660.0,94.2,72473.0,0.39,296.0,1.7,16.2,30736.0,0.44,37.0,25919.0,Healey
Middleton,9774.0,8566.0,7769.0,4506.0,962.0,0.8764067935338653,0.7948639246981788,0.4610190300798035,0.0984243912420708,40.1,0.301,0.0,-0.071,13.4,6.5,117.9,3.3,8.9,392.5,16.3,0.225,3.3,91.9,50.0,8.9,8.9,62.9,1754.0,8.0,2600.0,44.0,6.16,160.0,6.6,0.0,74.2,5.6,5.2,15.8,5.6,2.68,23.2,14.8,6.7,38938.0,0.11,0.9,18.9,13.0,41.4,84.1,8.8,0.166,26.6,45.5,142.0,15.5,5.4,2.08,0.007,8.0,91.0,0.149,12231.0,14.0,82.7,21.1,-0.081,48.9,4.4,8.7,0.962,8.7,6167.0,6471.0,91.3,68140.0,0.31,365.0,5.6,15.3,5805.0,1.18,22.0,5858.0,Diehl
Nahant,3329.0,3237.0,2933.0,1995.0,611.0,0.9723640732952838,0.8810453589666567,0.5992790627816161,0.1835386001802343,14.7,0.12,8.8,-0.136,17.6,7.3,539.6,29.1,9.4,510.0,27.2,0.057,5.9,20.2,59.0,8.8,0.0,34.2,925.0,4.7,2237.0,52.0,8.75,196.0,16.3,0.0,66.4,8.8,,52.0,1.8,2.18,33.5,25.9,10.1,47392.0,-0.04,0.3,20.5,23.0,49.2,50.9,10.1,0.013,23.8,18.2,288.0,37.9,12.9,0.27,0.008,49.0,101.0,0.087,10926.0,23.0,95.7,52.8,-0.248,38.6,0.0,6.4,0.831,8.9,5541.0,5671.0,91.1,70647.0,0.15,344.0,2.9,17.3,2665.0,0.02,35.7,2524.0,Healey
Newbury,6712.0,5986.0,5386.0,3282.0,885.0,0.8918355184743743,0.8024433849821215,0.4889749702026221,0.1318533969010727,19.5,0.1,18.0,-0.126,4.5,5.1,1059.1,28.3,9.7,474.2,,0.037,10.5,44.9,28.0,7.5,7.5,54.7,1370.0,4.1,2383.0,51.2,2.94,70.0,6.5,0.0,95.3,7.5,6.5,19.5,2.4,2.53,23.0,20.3,7.0,52133.0,0.23,0.8,18.0,12.0,44.6,84.2,,0.172,30.6,30.5,150.0,,6.3,2.34,0.008,88.0,,0.087,,20.0,95.2,71.3,,40.2,1.5,7.4,0.887,13.0,4476.0,4570.0,87.1,,,404.0,9.0,,5210.0,0.72,21.9,5025.0,Healey
Newburyport,18285.0,16916.0,15098.0,8718.0,2312.0,0.9251298878862456,0.8257041290675416,0.4767842493847415,0.1264424391577796,36.2,0.372,12.1,-0.065,5.7,7.8,592.6,12.0,8.8,490.6,20.2,0.254,2.3,73.2,75.0,10.9,63.7,42.4,1281.0,2.2,2988.0,53.5,5.84,175.0,19.7,0.6,44.3,8.0,2.9,52.7,3.5,2.23,34.4,23.2,4.3,43725.0,0.02,0.3,23.5,26.0,44.6,63.9,6.4,-0.016,18.2,17.7,183.0,20.0,6.1,0.23,0.008,285.0,133.0,0.14,13622.0,15.0,85.5,37.7,0.038,35.3,1.1,10.4,0.871,7.9,5699.0,5838.0,92.1,72536.0,0.36,315.0,2.3,11.9,13827.0,0.5,30.6,12708.0,Healey
North Andover,30910.0,26709.0,24139.0,15368.0,3741.0,0.8640892914914268,0.780944678097703,0.4971853769006794,0.1210287932707861,54.7,0.282,3.2,-0.047,12.0,10.5,70.2,18.2,8.5,453.6,22.0,0.196,1.8,82.9,29.0,16.2,34.2,55.5,1312.0,3.1,2365.0,52.3,6.44,152.0,6.5,2.5,34.2,4.9,6.5,16.8,5.6,2.62,25.6,18.5,5.0,47602.0,-0.06,0.5,12.7,12.0,39.9,71.6,19.3,-0.187,12.4,25.6,141.0,16.8,6.0,2.34,0.008,171.0,,0.112,11603.0,13.0,87.0,16.4,0.035,45.1,0.4,9.5,0.84,9.1,6350.0,6559.0,90.9,65381.0,0.38,296.0,4.9,,18968.0,0.63,23.5,18012.0,Healey
Peabody,54476.0,47258.0,42445.0,25118.0,6228.0,0.8675012849695278,0.7791504515750055,0.4610837800132168,0.114325574564946,19.3,0.245,0.8,-0.086,18.0,9.5,87.6,41.0,9.2,470.9,19.2,0.143,1.6,87.0,61.0,8.6,34.3,44.5,1017.0,5.9,2264.0,52.5,6.35,144.0,7.9,2.1,38.9,3.5,4.0,24.0,6.5,2.38,31.4,11.5,9.8,26611.0,-0.01,1.0,15.6,13.0,44.0,53.2,19.5,-0.008,17.5,41.4,175.0,19.2,7.7,1.26,0.008,146.0,212.0,0.178,13029.0,9.0,76.6,20.5,-0.023,52.2,1.7,16.4,0.853,9.7,3553.0,3680.0,90.3,73091.0,0.35,299.0,1.6,23.2,35849.0,0.35,33.1,30090.0,Healey
Rockport,6988.0,6493.0,5881.0,4320.0,1718.0,0.929164281625644,0.8415855752718947,0.6182026330852891,0.2458500286204922,17.3,0.247,8.6,-0.095,5.8,5.5,620.0,8.6,9.5,474.5,14.7,0.121,4.3,29.6,78.0,5.8,1.4,44.0,1456.0,3.5,2931.0,53.9,1.23,36.0,21.6,1.4,61.9,14.4,8.3,50.3,2.1,2.14,36.5,22.9,7.5,37199.0,-0.03,0.7,12.9,20.0,51.8,50.7,6.6,-0.097,21.4,22.4,187.0,21.4,6.4,0.64,0.008,123.0,21.0,0.196,15484.0,15.0,93.4,53.9,-0.072,46.1,0.0,8.7,0.942,6.8,5147.0,5400.0,93.2,72438.0,0.23,349.0,2.9,4.2,5789.0,0.29,24.7,5275.0,Healey
Rowley,6157.0,5305.0,4819.0,3004.0,772.0,0.8616209192788696,0.7826863732337177,0.4878999512749716,0.1253857398083482,22.2,0.131,5.1,-0.115,12.0,8.4,618.2,11.9,10.1,448.8,,0.071,5.1,74.6,40.0,5.1,1.7,54.4,1351.0,8.9,2475.0,50.5,2.73,68.0,5.4,3.4,86.9,6.8,14.4,14.9,3.6,2.69,18.6,16.3,5.5,37557.0,0.01,0.2,18.8,17.0,45.7,88.3,,0.084,33.0,28.3,220.0,22.1,8.9,2.31,0.008,42.0,29.0,0.132,,8.0,84.6,46.3,,37.7,0.0,3.4,0.931,3.9,5089.0,5244.0,96.1,,,431.0,12.0,6.7,4533.0,1.08,17.9,4227.0,Healey
Salem,44473.0,37397.0,33346.0,20513.0,4886.0,0.8408922267443167,0.7498032514109685,0.4612461493490432,0.1098644121152159,16.7,0.571,10.6,-0.122,10.4,11.6,302.9,41.5,9.8,408.6,8.6,0.311,1.0,120.9,55.0,8.5,56.8,44.6,1215.0,2.6,2671.0,53.5,6.4,171.0,19.4,4.4,32.0,11.4,4.4,56.9,13.3,2.22,35.3,14.9,6.3,25294.0,0.01,1.7,21.0,20.0,37.0,36.3,47.8,-0.044,14.8,30.5,189.0,21.9,7.1,-0.01,0.008,244.0,227.0,0.113,14706.0,8.0,82.2,21.0,-0.012,29.7,0.2,21.4,0.931,14.1,4593.0,4666.0,85.9,68846.0,0.36,237.0,1.7,37.8,28481.0,0.28,39.0,24018.0,Healey
Salisbury,9230.0,6699.0,5947.0,2742.0,538.0,0.7257854821235102,0.6443120260021669,0.2970747562296858,0.0582881906825568,3.6,0.319,1.2,-0.092,8.5,8.8,464.8,64.7,10.3,467.1,,0.151,3.6,125.4,21.0,1.2,4.8,50.8,1162.0,5.2,2201.0,51.6,5.93,131.0,11.2,0.0,68.3,1.2,15.7,19.4,3.7,2.39,29.9,15.1,5.6,24381.0,0.06,1.6,39.8,8.0,45.6,72.3,,-0.042,32.7,44.2,224.0,21.6,10.2,2.07,0.008,25.0,268.0,0.141,,8.0,80.9,37.1,,37.2,2.4,3.9,0.964,5.9,3439.0,3551.0,94.1,,,383.0,1.2,42.7,5976.0,0.71,24.2,5556.0,Healey
Saugus,28614.0,25012.0,22500.0,13533.0,2829.0,0.8741175648284056,0.7863283707276159,0.47295030404697,0.0988676871461522,20.7,0.173,2.3,-0.104,25.9,9.5,113.0,64.8,9.4,451.8,19.8,0.082,1.9,118.5,30.0,5.6,4.1,42.6,1081.0,8.6,2415.0,52.4,5.42,131.0,22.5,4.1,54.9,1.9,5.2,32.6,6.8,2.55,25.8,12.1,10.6,28050.0,0.03,1.4,16.5,12.0,42.8,53.0,19.1,0.022,22.9,50.6,185.0,26.1,7.7,0.55,0.008,87.0,294.0,0.102,12690.0,11.0,78.3,22.3,-0.026,45.2,0.4,10.0,0.845,6.8,3588.0,3672.0,93.2,65695.0,0.4,324.0,1.1,31.0,18024.0,0.14,33.3,15797.0,Diehl
Swampscott,15106.0,14072.0,12645.0,8629.0,2423.0,0.93155037733351,0.8370846021448431,0.5712299748444327,0.1603998411227327,39.9,0.305,13.1,-0.137,8.7,9.1,189.3,30.2,8.6,457.1,21.0,0.187,2.9,70.5,47.0,18.1,21.0,47.6,1735.0,2.4,3466.0,53.0,6.08,211.0,16.2,0.7,46.1,3.6,3.2,48.4,4.4,2.46,25.9,18.7,7.2,60646.0,0.12,0.9,13.1,17.0,44.4,45.8,14.0,-0.172,12.3,21.2,232.0,23.8,6.7,0.19,0.008,120.0,,0.134,13746.0,19.0,92.7,23.4,0.002,47.0,0.0,6.3,0.898,5.6,8377.0,8541.0,94.4,69684.0,0.32,300.0,2.2,,10257.0,0.13,32.4,9572.0,Healey
Topsfield,6565.0,6052.0,5483.0,3704.0,994.0,0.921858339680122,0.8351865955826352,0.5642041127189642,0.1514089870525514,57.5,0.037,14.8,-0.096,3.3,6.4,190.6,22.8,9.6,455.5,15.8,0.016,3.3,80.9,112.0,9.9,4.9,44.7,1954.0,5.6,4253.0,51.7,2.19,93.0,9.9,0.0,83.0,13.1,9.9,10.8,6.0,2.84,16.7,20.7,4.2,57151.0,-0.2,0.2,3.3,13.0,43.8,77.2,6.6,0.065,18.7,36.4,216.0,21.2,5.1,3.31,0.008,101.0,,0.12,13152.0,17.0,91.7,28.3,-0.118,58.9,6.5,8.9,0.91,5.7,7842.0,8071.0,94.3,67057.0,0.33,369.0,9.9,,4702.0,0.34,18.5,4144.0,Healey
Wenham,4974.0,4023.0,3568.0,2447.0,646.0,0.8088057901085646,0.717330116606353,0.4919581825492561,0.1298753518295134,24.6,0.074,4.1,-0.22,6.2,4.7,172.3,14.3,9.7,356.1,,0.027,4.1,79.8,146.0,2.1,2.1,55.8,1594.0,1.8,2856.0,54.7,3.44,98.0,6.7,0.0,52.0,16.4,5.3,22.2,0.7,2.67,23.2,25.2,5.9,76432.0,-0.13,0.2,,12.0,28.6,70.2,,0.056,11.7,19.1,209.0,20.4,7.3,1.97,0.006,67.0,67.0,0.052,,15.0,95.6,17.8,,61.3,0.0,2.3,0.778,8.6,9482.0,9353.0,91.4,,,248.0,4.1,6.1,2894.0,0.35,17.9,2608.0,Healey
West Newbury,4497.0,4096.0,3664.0,2333.0,643.0,0.9108294418501224,0.8147653991549922,0.5187903046475428,0.1429842116966866,14.2,0.08,7.1,-0.117,4.7,5.2,384.9,16.4,9.7,464.7,,0.03,4.7,61.4,70.0,7.1,7.1,49.6,1301.0,1.9,2521.0,50.3,2.49,63.0,6.5,0.0,89.3,11.8,7.2,24.8,4.4,2.8,13.9,23.5,6.1,52043.0,-0.01,0.7,4.7,2.0,43.6,95.1,,0.452,25.0,18.6,179.0,16.4,7.1,1.65,0.008,58.0,58.0,0.152,,8.0,96.5,42.5,,39.7,2.3,2.2,0.883,7.8,6742.0,7156.0,92.3,,,376.0,7.1,25.5,3199.0,0.87,22.7,3270.0,Healey
Ashfield,1690.0,1335.0,1202.0,880.0,317.0,0.7899408284023669,0.7112426035502959,0.5207100591715976,0.1875739644970414,17.3,0.061,11.5,-0.023,11.5,5.2,213.0,5.7,11.1,495.7,,0.0,11.5,43.8,45.0,,0.0,61.0,1261.0,3.5,1965.0,50.9,1.54,30.0,3.7,0.0,167.6,5.8,85.7,43.5,6.8,2.28,27.1,23.2,9.8,23826.0,0.06,0.0,23.0,40.0,46.2,74.7,,0.222,44.3,23.7,56.0,5.7,2.8,0.78,0.003,24.0,57.0,0.136,,2.0,92.5,18.4,,36.9,476.5,6.3,0.824,7.4,3483.0,3589.0,92.6,,,401.0,5.8,5.7,1359.0,0.55,32.0,1218.0,Healey
Bernardston,2096.0,2182.0,1953.0,1262.0,371.0,1.041030534351145,0.9317748091603052,0.6020992366412213,0.1770038167938931,9.4,0.046,0.0,-0.082,0.0,5.2,239.5,28.1,10.8,488.0,,0.0,14.1,114.1,31.0,4.7,0.0,61.1,1091.0,4.2,1697.0,50.0,2.1,36.0,5.1,0.0,157.4,9.4,9.6,30.0,5.3,2.39,24.3,15.4,7.9,25355.0,0.02,0.5,32.9,5.0,45.5,72.8,,-0.065,33.8,16.9,96.0,14.0,5.7,0.91,0.003,8.0,130.0,0.031,,7.0,85.8,15.0,,47.7,473.1,6.3,0.949,7.2,3480.0,3458.0,92.8,,,432.0,4.7,18.6,1504.0,0.45,18.0,1375.0,Healey
